;text_id;full_text;cohesion;conventions;grammar;phraseology;syntax;vocabulary
733;3898358B58BB;To conserve energy and resources, Some businesses have adopted a four day work week, With each day consisting of ten hours. My school should not follow this model or even consider extending the school day by two hours. At my school a full day of school consists of seven hours. Seven hours is more then enough, Now having it to be nine hours would be very overwhelming for everybody. Extending it two more hours is too much stress on the students , as well as the teachers. Also most students have a part time job after school and won't fit everyone's schedule. There is a lot to do after school and extending school two more hours would not help. It also would not only affect the students but the teachers too. Some teachers have a second job to go to after school, Some teachers have children to go take care of at home. Also it is scientifically proven, That if students are in school for more than the seven hours they usually are in school, The students mind shut down. once the mind shuts down the body does too. So whenever the teacher is teaching the students isn't picking up the information and isnt learning anything. The student isnt focousing and also tired. So it would not benefit the students much , by adding the two hours. It will most likely have the students failing, because they're not leaning or doing their work. No good benefit will come out of extending the school day, Only bad. The school board should leave it how it is. My school should not follow this model by extending the school day by two hours.;3;2.5;3;3;3;3
2244;A80542F83A7C;"Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. It would really benefit the students, who are not socialize and have problems contacting with other students or teachers. It would help the students who had a bad experience at school. Students who are in their comfort zone will likely be able to focused and not have any distraction. Some may argue that student should not attend classes from home by way of online or video conferencing. Students that are at home will most likely be distracted, and will not finish their agenda. Some students will have a hard time teaching their selves. Also it would not give the students, the chance of experiencing what it is like in school.

It would really benefit the students, who are not socialize and have problems contacting with other students or teachers. Every students grew up differently, and also some other students have had a bad childhood experienced and it reflected on how they act in their current life, by giving them a chance to study where they are comfortable at would give them a chance to show what they can really do, because not many students have that many option or chances to show their full potential. They can not do that by having to stay in school, and force them selves to socialize to other students or teachers it would all just be a distraction.

Also, it would help the students who had a bad experienced at school. Students who experienced getting bullied at school can caused them to stop going or the will to study and be successful in life. Bullying even nowadays still have so much impact on why some schools are really not on their high standards. And it showed that students are highly affected by it. It showed that it is a nightmare to some students, but now having the online classes will pull them away from that and really focused on their studies.

Furthermore, students who are in their comfort zone, will likely be able to focused and not have any distraction. By having that comfortless and being in your zone of learning, will highly benefit you to show your potential. Being in the right environment also help students focused. Students who is really serious about being successful and have that high standards are more likely to be successful. Family can also motivate them, to keep on pushing even though it might be hard for them but having your family by your side can really motivate you to keep on pushing.

Therefore, i really believed that, students should really have the option to take online classes or video conferencing. by just having that it would benefit lots of student, who are having problems being socialize to other students or teachers. it would help the students who had a bad experience in school. And it also would benefit the students who are in their comfort zone, and being able to focused and having that chance would increase the chances of more students will be successful.";3.5;3.5;3;3;3.5;3
1674;7F1F55F771F9;"I agree with the adoption about the midnight weekend however this did not mean that i agree the 10 p. m weekday curfew.

Although many of the teenagers are constantly restricted nevertheless, the teenagers more younger`s that 18 has their own`s responsibilities and obligations to themselves and for their families because, the teenager`s need education, a home and money.

The teenager`s need education, being from elementary until high school grades. In 5 or 10 years in the future the teenager been the support from the economy, the country and the next generation.

A home the teenager`s need a place to call ""home"" that place where him not only can relax, rather he should be tranquil and save from the rest of the world; that place where you know that someone is to waiting for you with a smile and food, sure will be you should reprimand but you know that is for your well-being and future.

Logically the money is the more important fact in the teenagers life, to won it is necessary to get a part-time job or work in the weekend, that is where is the problem to obtain money the teenager`s from 16 to 18 year`s has to use their value time after school to work. The part-times are approximate 6 hours; if a student work from 4. pm to 9p. m there is no problem, but if a student work between the curfew from 5p. m to 10p. m the big problem is that the teenagers will been accused be breaking the law when it did not happen is just a unfairly interference from the city.

In summary: The children`s from today will be the teenager of tomorrow and the adults from the new generation.

a home is the best place to a teenager to feel comfortable, save and tranquil. The money is the most important think for a teenager in the present and for their future and the time is a necessary value to get it.";2;2;2;2;2;2
2024;98CD7819C7EF;"Some people believes that making mistakes is how peoples move on to success. Othes believes that is if we are determinated person and having positives thoughts without limitations. Some others people realized right before they are committing the mistake and they are just avoiding them. Although some say, successing in life without failures, our lifes wouldn't make sense, because we would not learn how to be success in our life's. Actually, successing in life with failures is more baneficial to our life's, because we learn how to believes on us, and we may have a life without doubts.

As a result, if we are the kind of person who doesn't makes any mistakes and realizing to success. i think that we wouldn't know what are we doing wrong to be determinated person. Also most of the people wouldn't have knowlwdge to succes in their lifes. Actually, when people cling to themselves isn't good for their goals in lifes.

However, I believe that making failures is how we move on to succe ss in life and is more beneficial to our life's. Otherwise i can tell the 80% of the people belives that making failures is how we learn to success and we become a civilized person. Sometimes most of the people have goals to achieve in their life's. As a matter of fact,

when we are setting goals to our life's and we can't get that goal it's because we are doing something wrong and we don't even realize what's wrong with it. its when we are learning to be focus and making sure next time to be success and whatever we did wrong.

In fact, sometimes it's hard to when we have had failures a fewers times, because we do not want to commit mistakes, but i think that is a beneficial for most of the people. Because the most mistakes we have and at the same time we overcome to have more experience in life. First of all, when we fix what we did wrong. Also I believe that fixing problems is a good way to be success in life. second of all, my suggestions are that to be a positive person, and determinate, smart, and wise person it make us a better person in success.

In conclusion, some people believes that having failures is how we are success in life and others don't think that way. However i do believe so that to be a success person, we have to fail a fewers times, because it's really important to me to be a determinate person. I think that those are my thoughts to be a better person in successful. and by the way, I'm totally agree that we have to fail first to be a success person.";2.5;2.5;2.5;2.5;2.5;2.5
3725;F86CA3BFAB20;"I take ""Determine never to be idle...It is wonderful how much may be done if we are always doing."" Because the more you do the more you get done. And that will make your life so much easier. You should should never wait for tomorrow to do something if you can do it today. Also, you can't be idle for the rest of your life. You can't be successful if you're just going to idle. To be soemthing in life you have to work hard for it. You always have to push yourself to the max limit. But at the end it'll all be worth it.

I remember my mom always used to tell me that ""Never wait for tomorrow to do something that you can do today."" And that will be in my head for the rest of my life. I use that quote to motivate myself when I'm doing homework or going to the gym etc. It always works and i will always live to that. My whole family lives to that qutoe.

The world would be such a better place if people didn't idle. If people were determined to work hard for themselves, everybody in the world would be succesful. Also more people would be enjoying a more wealthy life. Less people wouldn't need a place to sleep. Their would be more people enventing stuff to make the world a better place. Everybody in the world would have water and food.

You would make your whole family proud. Give back to the people. Do unreal things that no human has ever done before. Maybe even go to every planet to see if humans are able to live there. Their would be less crimes and less lives lost. Also more opportunities for people to succeed.

Finally, Thomas Jefferson wrote that quote for a reason. For people to succeed in life. It was for people to look at the quote and actually do it and not idle. Thomas Jefferson wanted people to do great things. He wanted people to always be doing and not idle. If you're determined you will succeed. Never give up.";2.5;2.5;2.5;2.5;2.5;3
1957;93C575DB7931;"Would you rather ask one person or multiple for advice

I think that if you talk to more than one person for advice it will hep you more .One time i saw this quot by Lebron James that said if you need advice always ask more than one because one person could be right and the other could be not be right so dont be scared to ask more than one person there is noting wrong about asking the person you look up to. it will most likely be better if you ask multiple people for good advice.

If you are a person that does not like taking to other people you can just go to one person or you can try something different and ask someone else but if you just want to ask one person you have to go to someone you trust so they can give you some good feed back and good information. If i was to ask someone for advice i would go to a person that is very wise and makes smart choices so they can help me make a smart choice so i dont make the bad choices. If you need good advice make sure your going to the right person because you do not to be getting bad information if you have bad information you can make some bad choices.

Getting advice from one person can also be good because what if your telling them personal thing they can keep it a secret but if you tell multiple people your personal information can get out there and can start getting bulled and you would not be able to trust anyone again so that is why sometimes you just have to tell one person if it is important information. And if you just dont trust anyone you can just go to your consular because your consular will never share your information with anyone and she will under stand you more because it could of happen to her as a child so one person can also be helpful.

Dont forget asking for advice can always be useful if its one person or it multiple people it can still help you but if it is a person that does bad things and you ask him for advice he can tell you to do the things he does and you will turn out just like him so do not do to someone for advice if they dont make good choice. advice can change pepole live if it is good.";2.5;2.5;2.5;2.5;2.5;2.5
831;400E5AA27067;"It has been said that first impressions are impossible to change, I disagree with this stiemant. The reason

I disagree with this is because first of all first impressions are a snap chat of who you are.

Second of all the more time you spend with a person the more likely that they will change there mind of who they thought you were from the first time they meet you. At this time of peride people are starting to get the idea that first impressions are't always correct, so they are willing to give a second chance.

First impressions are a snap chat of who you are, for me personally first impressions are always heard because based on the few second I spend talking to a person they will always think of me as that person specie if am never going to see them aging. Job interview is a big one because based on how you present your self at that moment of time will determan whether you get the job or not, and you might get nerves and act a sertine way that will not help you get the job even tho that's not who you really are. For example like a year ago I had soccer tryouts for a big soccer team the whole month I have been training and feeling good, but when the day came I was nerves because I never had the chance to tryout for a big team like that. I ended up not getting into the soccer team because the whole time I was worried what time the coaches will think of me and they were not impress with me the first, but this year I made it into the team the coaches liked me because I was much comfortable on the ball this time then last time and the coaches changed there mind about me . What am trying to say is first impressions are not impossible to change.

The more time you spend with a person the more likely that they will change there mind, Sometimes you will like person based on for the few seconds you seen them or talk to them, but then when you spend more time with me you come to find out that they are not as much as inserting as they seam. For example I had this kid in my class he was funny and seem inserting. but the more I got to now him i found out that he is funny when they are a group of people around him but when you talk to him one on one he is like a whole different person. This just goes to show that it is not just bad first impressions that are not impossible it's the good one's too.

People are starting to get the idea that first impressions are't always correct, Job are starting to understand that first impressions are not always correct for that reason they are willing to have two job interviews with. Sometimes it might be first on the phone than in person or just have two job interviews in person and I think that is a good idea spicily for people like me who are not good at first impressions.

inconclution,

Some people might say first impressions are impossible to change and I can see where they are coming from, but all am trying to say is the more time you spend with a person you are going to have more understanding of who they are. The only time I would say first impressions are almost impossible to change is if you are going to see the person just for one time and never see them aging. If that is the case than what ever the image of you they have that will just be it but be sides that first impressions are not impossible to change.";3;2.5;3;3;2.5;3
2755;CA4941643D09;"Thomas Jefferson wrote to never to be idle and he believes that is better to always be doing something, because if you do not try to do things you never will get a purpose in life, even though some says that inactivity also serve a purpose. Do things make you do better in life, also is better to have the mind busy in something, if you do things you can be someone in life.

Although Thomas Jefferson believes that is always better be doing something that doing nothing, because if you do not try to do things in life you will never get a purpose, actually Thomas Jefferson says that if inactivity also serve a purpose, in my opinion people do not like to do things because they do not want to be someone in life and they are lazy.

Although Thomas Jefferson believes that is always better be doing something that be doing nothing, because if you do not try to do something in life you will never get a purpose, people just like to be annoying with others, people try to do hard life for the others people.

Although Thomas Jefferson says if inactivity also serve a purpose in life, in my opinion, when you do not do anything you will never get a result of good things always we have to try to do some effort to be someone in life.

In addition, According to the prompt and ""determine never to be a idle"". I have never been idle in life, because i always do my responsibilities and i try to not be lazy, some times i also help other peoples cause we need to be good with others no matters how they are with us. I always like to do my own work because i want to be some one in the future that's why i like to do some effort in life. Everyone makes errors in life but, always we will try to fixed no matters how big they are, some day i want to my fathers be proud of my work in life. I never want to be a idle person.

In conclusion, is wonderful how we have done in life because life is so hard for everyone but, always we can do some effort to be proud of our self.

Although Thomas Jefferson believes that is always better be doing something that doing nothing, because if you do not try to do things in life you will never get a purpose, actually Thomas Jefferson says that if inactivity also serve a purpose, in my opinion people do not like to do things because they do not want to be someone in life and they are lazy.  ";2;2.5;3;3;3;3
2522;BB5B58E098AB;"Well i think we choose our own character traits,because its up to you what you want to do, we choose if we want to be happy,sad,or angry. I've learned that with my mom,she always tells me,""you choose to be happy,sad,angry""

Sometimes our character is formed by influences beyond our control,and that's okay everyone has diffrent reasons to be mad or to be sad,happy but we can change it if we want to. The British naturalism and politician John Lunnock was right about what he wrote,this helps a lot of people to understand that if someone do,did,say,or have said something to you ,it'll be our choice to get mad,sad,or just ignore what happened..

After that your character it'll be what you choose to make it.

For example,i've been trought a lot this past years ,my chilhood was not the best i did not had a father or my mom when i was a little girl,i grew up with my grandparents my uncle raped me when i was seven years old,my other unclu he used to hit me all the time in my head,my grandma used to hit me with the belt , i was fat when i was a little girl,and people used to make fun of me,

That really affect me ,because i'm unsecure about my body,or how i look,i've in Hospitals because i try to kill myself last year,because i was depressed,because all the things that i've been trought and now i choose to be happy,im going to therapits on Monday's,i started working ,i play soccer,or i go out with my sister.

I have choose to be happy .

Sometimes it's hard to be happy,even that you know you want to be happy you just don't see one reason to be,and it's sad because you know your family it's feeling the same pain you feel inside of you ,the only thing you think in those moments are, ""why would i do this"" or ""why am i trying so hard "" .

Those are the worst feelings,when you want to get up in the morning but you can't.

In conclusion,my opinion it's that everyone needs to know that ,our character will be what we choose to make ,we have to make good decisions to be good.";2;2;2;2;2;2
1978;959946A3FB03;"Has the limitation of human contact due to the use of technology has positive or negative effects on people's lives. Technology allows people to complete many task without any contact with another human. Technology has a negative effects on peoples live's. After awhile of using technology and not having any contact with other human you seem to forget how to actually hold a conversation with other human. Technology restrict's you from getting out of the house. People meet other people via online or in online website which can be really scary because you don't know the other person behind the other screen.

After awhile of using technology and not having any contact with other human you seem to forget how to actually hold a conversation with other human. Technology restrict's you from getting out of the house. Technology restrict's you from getting out of the house and completing task. People really enjoy the fact that they don't have to leave the house or if the need something it will be delivered to their front door. Without you ever leaving the house can really effect your life you start to become lazy different task become harder for you because you don't have technology by your side.

Technology can help alot of people becasue a lot people buy stuff online and don't go to the store which can save time and but people start to get lazy knowing that they can get whatever they want and never have to leave the house. A lot of people have jobs in which they work from home and don't really live the house. I personaly would hate to be stuck in the house all the time i like to go outside and talk to other people and go to the store to get something other than wating for it to arrive at my door.

People meet other people via online or in online website which can be really scary because you don't know the other person behind the other screen. Kids get kidnapped because other creepy people who talk to little kids and act like their friendly to the kids. Some people go as far as finding where you live and what school you attended which can be really creepy. One of my friends had a stalker like that which she meet online and thought he has the same age as her and it turned out to be false he was away older then her and had wrong attentions for her i'm really glad that she found out soon who he really was and called the cops.

In conclusion Technology allows people to complete many task without any contact with another human. Technology may have a negative effect on peoples lives or it may not some people say it does not and some say it does. technology is a great tool to have, technology can get in bad hands and turn out really bad. After awhile of using technology and not having any contact with other human you seem to forget how to actually hold a conversation with other human. Technology can help alot of people becasue a lot people buy stuff online and don't go to the store which can save time and but people start to get lazy. People meet other people via online or in online website which can be really scary because you don't know the other person behind the other screen.                                                                            ";2.5;2.5;2.5;2.5;2.5;2.5
